week_id,week,total_transactions
302,"Week 40, 2 - 8 Oct 2023",97
303,"Week 41, 9 - 15 Oct 2023",92
304,"Week 42, 16 - 22 Oct 2023",100
305,"Week 43, 23 - 29 Oct 2023",103
306,"Week 44, 30 - 5 Nov 2023",98
307,"Week 45, 6 - 12 Nov 2023",92
308,"Week 46, 13 - 19 Nov 2023",106
309,"Week 47, 20 - 26 Nov 2023",109
310,"Week 48, 27 - 3 Dec 2023",118
311,"Week 49, 4 - 10 Dec 2023",107
312,"Week 50, 11 - 17 Dec 2023",101
313,"Week 51, 18 - 24 Dec 2023",112
314,"Week 52, 1 - 7 Jan 2023",109
315,"Week 1, 1 - 7 Jan 2024",83
316,"Week 2, 8 - 14 Jan 2024",104
317,"Week 3, 15 - 21 Jan 2024",115
318,"Week 4, 22 - 28 Jan 2024",110
319,"Week 5, 29 - 4 Feb 2024",121
320,"Week 6, 5 - 11 Feb 2024",102
321,"Week 7, 12 - 18 Feb 2024",148
322,"Week 8, 19 - 25 Feb 2024",154
323,"Week 9, 26 - 3 Mar 2024",71
324,"Week 10, 4 - 10 Mar 2024",97
325,"Week 11, 11 - 17 Mar 2024",98
326,"Week 12, 18 - 24 Mar 2024",98
327,"Week 13, 25 - 31 Mar 2024",95
